Row,Stable_ID,UCUM_CODE,Print_Symbol,Label,Description,Synonyms,Search_Tokens,Dimension_Category,Dimension_Code,Metric_Code,Metric_Comment,Customary_Code,Customary_Comment,UCUM_Status,Is_Common,Source
12,ucum_A_per_m,A/m,A/m,A/m (ampere per meter),ampere per meter,A/m;ampere per meter;amperes per meter;ampere per metre;amperes per metres;amperes per meters;ampere per meters;ampere per metres;amperes per metre,a m ampere per meter amperes metre metres meters,Electrical / Magnetic,electrical_magnetic,metric,,,,c/s,false,ucum_v1.5_2020_06
13,ucum_arbU,[arb'U],arb'U,arb'U (arbitrary unit),arbitrary unit,[arb'U];arb'U;arbitrary unit;arbitraries units;arbitraries unit;arbitrary units,arb u arbitrary unit arbitraries units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [arb'U],,,c/s,false,ucum_v1.5_2020_06
14,ucum_arbU_per_mL,[arb'U]/mL,arb'U/mL,arb'U/mL (arbitrary unit per milliliter),arbitrary unit per milliliter,[arb'U]/mL;arb'U/mL;arbitrary unit per milliliter;arbitrary unit per millilitre;arbitraries units per milliliters;arbitrary unit per milliliters;arbitraries units per millilitres;arbitraries unit per milliliter;arbitrary units per millilitre;arbitrary units per milliliter;arbitrary unit per millilitres;arbitraries unit per millilitre,arb u ml arbitrary unit per milliliter millilitre arbitraries units milliliters millilitres,Catalytic Concentration,catalytic_concentration,mixed,customary: [arb'U],,,c/s,false,ucum_v1.5_2020_06
15,ucum_ARU,{ARU},{ARU},{ARU} (aspirin response unit),aspirin response unit,{ARU};aspirin response unit;aspirin responses unit;aspirins response unit;aspirins responses units;aspirin response units,aru aspirin response unit responses aspirins units,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
16,ucum_atm,atm,atm,atm (atmosphere),atmosphere,atm;atmosphere;atmospheres,atm atmosphere atmospheres,Pressure,pressure,metric,,,,c/s,true,ucum_v1.5_2020_06
17,ucum_ag_per_cell,ag/{cell},ag/{cell},ag/{cell} (attogram per cell),attogram per cell,ag/{cell};attogram per cell;attograms per cells;attograms per cell;attogram per cells,ag cell attogram per attograms cells,Per Count / Per Event,per_count_per_event,metric,,,,c/s,false,ucum_v1.5_2020_06
18,ucum_bar,bar,bar,bar,bar,bar;bars,bar bars,Pressure,pressure,metric,,,,c/s,true,ucum_v1.5_2020_06
19,ucum_Bq,Bq,Bq,Bq (Becquerel),Becquerel,Bq;Becquerel;becquerels,bq becquerel becquerels,Radioactivity / Dose,radioactivity_dose,metric,,,,c/s,true,ucum_v1.5_2020_06
20,ucum_bethU,[beth'U],BU,BU (Bethesda unit),Bethesda unit,[beth'U];BU;Bethesda unit;Bethesda units,beth u bu bethesda unit units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [beth'U],,,c/s,false,ucum_v1.5_2020_06
21,ucum_10e9_per_L,10*9/L,10⁹/L,10⁹/L (billion per liter),billion per liter,10*9/L;10⁹/L;billion per liter;billion per liters;billion per litre;billion per litres,10 9 l 10⁹ billion per liter liters litre litres,Number Concentration,number_concentration,metric,,,,c/s,true,ucum_v1.5_2020_06
22,ucum_10e9_per_uL,10*9/uL,10⁹/μL,10⁹/μL (billion per microliter),billion per microliter,10*9/uL;10⁹/μL;billion per microliter;billion per microlitres;billion per microlitre;billion per microliters,10 9 ul 10⁹ μl billion per microliter microlitres microlitre microliters,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
23,ucum_10e9_per_mL,10*9/mL,10⁹/mL,10⁹/mL (billion per milliliter),billion per milliliter,10*9/mL;10⁹/mL;billion per milliliter;billion per millilitres;billion per millilitre;billion per milliliters,10 9 ml 10⁹ billion per milliliter millilitres millilitre milliliters,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
24,ucum_binding_index,{binding_index},{binding_index},{binding_index} (binding index),binding index,{binding_index};binding index;bindings indices;binding indices;bindings index,binding index bindings indices,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
25,ucum_bdskU,[bdsk'U],[bdsk'U],[bdsk'U] (Bodansky unit),Bodansky unit,[bdsk'U];Bodansky unit;Bodansky units,bdsk u bodansky unit units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [bdsk'U],,,c/s,false,ucum_v1.5_2020_06
26,ucum_breaths_per_min,{breaths}/min,{breaths}/min,{breaths}/min (breaths per minute),breaths per minute,{breaths}/min;breaths per minute;breaths per minutes,breaths min per minute minutes,Number Concentration,number_concentration,mixed,non-prefixable: min,,,c/s,true,ucum_v1.5_2020_06
27,ucum_CAG_repeats,{CAG_repeats},{CAG_repeats},{CAG_repeats} (CAG trinucleotide repeats),CAG trinucleotide repeats,{CAG_repeats};CAG trinucleotide repeats;CAG trinucleotides repeats;cags trinucleotides repeats;cags trinucleotide repeats,cag repeats trinucleotide trinucleotides cags,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
28,ucum_cal,cal,cal,cal (calorie),calorie,cal;calorie;calories,cal calorie calories,Energy,energy,metric,,,,c/s,true,ucum_v1.5_2020_06
29,ucum_cells,{cells},{cells},{cells} (cells),cells,{cells};cells,cells,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
30,ucum_cells_per_HPF,{cells}/[HPF],{cells}/HPF,{cells}/HPF (cells per high power field),cells per high power field,{cells}/[HPF];{cells}/HPF;cells per high power field;cells per highs power field;cells per highs power fields;cells per high power fields,cells hpf per high power field highs fields,Number Concentration,number_concentration,non_metric,customary atom(s): [HPF],,,c/s,false,ucum_v1.5_2020_06
31,ucum_cells_per_uL,{cells}/uL,{cells}/μL,{cells}/μL (cells per microliter),cells per microliter,{cells}/uL;{cells}/μL;cells per microliter;cells per microliters;cells per microlitre;cells per microlitres,cells ul μl per microliter microliters microlitre microlitres,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
32,ucum_cg,cg,cg,cg (centigram),centigram,cg;centigram;centigrams,cg centigram centigrams,Mass,mass,metric,,,,c/s,false,ucum_v1.5_2020_06
33,ucum_cL,cL,cL,cL (centiliter),centiliter,cL;centiliter;centiliters;centilitres;centilitre,cl centiliter centiliters centilitres centilitre,Volume,volume,metric,,,,c/s,false,ucum_v1.5_2020_06
34,ucum_cm,cm,cm,cm (centimeter),centimeter,cm;centimeter;centimetres;centimetre;centimeters,cm centimeter centimetres centimetre centimeters,Length,length,metric,,,,c/s,true,ucum_v1.5_2020_06
35,ucum_cm_Hg,cm[Hg],cmHg,cmHg (centimeter of mercury),centimeter of mercury,cm[Hg];cmHg;centimeter of mercury;centimeters of mercury;centimetres of mercury;centimetre of mercury,cm hg cmhg centimeter of mercury centimeters centimetres centimetre,Pressure,pressure,mixed,customary: [Hg],,,c/s,false,ucum_v1.5_2020_06
36,ucum_cm_H2O,cm[H2O],cmH₂O,cmH₂O (centimeter of water),centimeter of water,cm[H2O];cmH₂O;centimeter of water;centimetres of water;centimetre of water;centimeters of water,cm h2o cmh₂o centimeter of water centimetres centimetre centimeters,Pressure,pressure,mixed,customary: [H2O],,,c/s,true,ucum_v1.5_2020_06
37,ucum_cm_H2O_per_L_per_s,cm[H2O]/L/s,cmH₂O/L/s,cmH₂O/L/s (centimeter of water per liter per second),centimeter of water per liter per second,cm[H2O]/L/s;cmH₂O/L/s;centimeter of water per liter per second;centimeters of water per liter per second;centimetre of water per liter per seconds;centimeter of water per litres per second;centimeters of water per litres per seconds;centimetre of water per litres per second;centimetre of water per liter per second;centimeter of water per litre per seconds;centimeters of water per liters per seconds;centimetres of water per litre per second;centimeter of water per litre per second;centimetre of water per liters per second;centimeter of water per liter per seconds;centimetres of water per liters per seconds;centimetre of water per litre per second;centimetres of water per litres per seconds;centimeter of water per liters per second;centimetres of water per liter per second;centimetre of water per litre per seconds;centimeters of water per litre per second,cm h2o l s cmh₂o centimeter of water per liter second centimeters centimetre seconds litres litre liters centimetres,Volumetric Flow Rate,volumetric_flow_rate,mixed,customary: [H2O],,,c/s,false,ucum_v1.5_2020_06
38,ucum_cm_H2O_per_s_per_m,cm[H2O]/s/m,cmH₂O/s/m,cmH₂O/s/m (centimeter of water per second per meter),centimeter of water per second per meter,cm[H2O]/s/m;cmH₂O/s/m;centimeter of water per second per meter;centimeters of water per second per meter;centimetre of water per second per meter;centimetres of water per second per metre;centimeter of water per second per meters;centimeter of water per seconds per meter;centimetre of water per second per meters;centimetre of water per seconds per meter;centimetre of water per second per metre;centimeter of water per second per metre;centimeters of water per seconds per metres;centimetres of water per second per meter;centimeters of water per seconds per meters;centimeter of water per second per metres;centimetres of water per seconds per meters;centimetres of water per seconds per metres;centimeters of water per second per metre;centimetre of water per second per metres;centimetre of water per seconds per metre;centimeter of water per seconds per metre,cm h2o s m cmh₂o centimeter of water per second meter centimeters centimetre centimetres metre meters seconds metres,Rate (per time),rate_per_time,mixed,customary: [H2O],,,c/s,false,ucum_v1.5_2020_06
39,ucum_cm_per_s,cm/s,cm/s,cm/s (centimeter per second),centimeter per second,cm/s;centimeter per second;centimetre per second;centimeter per seconds;centimeters per seconds;centimetres per second;centimetre per seconds;centimetres per seconds;centimeters per second,cm s centimeter per second centimetre seconds centimeters centimetres,Velocity,velocity,metric,,,,c/s,false,ucum_v1.5_2020_06
40,ucum_cP,cP,cP,cP (centipoise),centipoise,cP;centipoise;centipoises,cp centipoise centipoises,Viscosity,viscosity,metric,,,,c/s,false,ucum_v1.5_2020_06
41,ucum_cSt,cSt,cSt,cSt (centistoke),centistoke,cSt;centistoke;centistokes,cst centistoke centistokes,Viscosity,viscosity,metric,,,,c/s,false,ucum_v1.5_2020_06
42,ucum_delta_OD,{delta_OD},{delta_OD},{delta_OD} (change in (delta) optical density),change in (delta) optical density,{delta_OD};change in (delta) optical density;changes in (delta) optical density;change in (deltas) optical density;changes in (deltas) opticals densities;change in (delta) optical densities;change in (delta) opticals density,delta od change in optical density changes deltas opticals densities,Dimensionless / Ratio,dimensionless_ratio,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
43,ucum_clock_time,{clock_time},{clock_time},{clock_time} (clock time e.g 12:30PM),clock time e.g 12:30PM,{clock_time};clock time e.g 12:30PM;clocks times e.g 12:30PM;clock times e.g 12:30PM;clocks time e.g 12:30PM,clock time e g 12 30pm clocks times,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
44,ucum_CFU,[CFU],CFU,CFU (colony forming unit),colony forming unit,[CFU];CFU;colony forming unit;colony forming units;colonies forming unit;colony formings unit;colonies formings units,cfu colony forming unit units colonies formings,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [CFU],,,c/s,false,ucum_v1.5_2020_06
45,ucum_CFU_per_L,[CFU]/L,CFU/L,CFU/L (colony forming unit per liter),colony forming unit per liter,[CFU]/L;CFU/L;colony forming unit per liter;colonies forming unit per liter;colony forming units per litre;colony forming unit per litres;colony forming unit per liters;colony forming unit per litre;colony formings unit per litre;colony forming units per liter;colonies formings units per liters;colony formings unit per liter;colonies formings units per litres;colonies forming unit per litre,cfu l colony forming unit per liter colonies units litre litres liters formings,Number Concentration,number_concentration,mixed,customary: [CFU],,,c/s,false,ucum_v1.5_2020_06
46,ucum_CFU_per_mL,[CFU]/mL,CFU/mL,CFU/mL (colony forming unit per milliliter),colony forming unit per milliliter,[CFU]/mL;CFU/mL;colony forming unit per milliliter;colonies forming unit per milliliter;colony forming unit per millilitres;colonies forming unit per millilitre;colonies formings units per milliliters;colony formings unit per milliliter;colony forming units per milliliter;colony forming unit per millilitre;colony forming units per millilitre;colony formings unit per millilitre;colony forming unit per milliliters;colonies formings units per millilitres,cfu ml colony forming unit per milliliter colonies millilitres millilitre formings units milliliters,Number Concentration,number_concentration,mixed,customary: [CFU],,,c/s,false,ucum_v1.5_2020_06
47,ucum_CAEU,{CAE'U},{CAE'U},{CAE'U} (complement activity enzyme unit),complement activity enzyme unit,{CAE'U};complement activity enzyme unit;complements activities enzymes units;complement activities enzyme unit;complement activity enzymes unit;complements activity enzyme unit;complement activity enzyme units,cae u complement activity enzyme unit complements activities enzymes units,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
48,ucum_CH100U,{CH100'U},{CH¹⁰⁰'U},{CH¹⁰⁰'U} (complement CH100 unit),complement CH100 unit,{CH100'U};{CH¹⁰⁰'U};complement CH100 unit;complements CH100 units;complements CH100 unit;complement CH100 units,ch100 u ch¹⁰⁰ complement unit complements units,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
49,ucum_copies,{copies},{copies},{copies} (copies),copies,{copies};copies,copies,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
50,ucum_copies_per_ug,{copies}/ug,{copies}/μg,{copies}/μg (copies per microgram),copies per microgram,{copies}/ug;{copies}/μg;copies per microgram;copies per micrograms,copies ug μg per microgram micrograms,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
51,ucum_copies_per_mL,{copies}/mL,{copies}/mL,{copies}/mL (copies per milliliter),copies per milliliter,{copies}/mL;copies per milliliter;copies per milliliters;copies per millilitre;copies per millilitres,copies ml per milliliter milliliters millilitre millilitres,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
52,ucum_count,{count},{count},{count} (count),count,{count};count;counts,count counts,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
53,ucum_CPM,{CPM},{CPM},{CPM} (counts per minute),counts per minute,{CPM};counts per minute;counts per minutes,cpm counts per minute minutes,Rate (per time),rate_per_time,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
54,ucum_CPM_per_10e3_cell,{CPM}/10*3{cell},{CPM}/10³{cell},{CPM}/10³{cell} (counts per minute per thousand cells),counts per minute per thousand cells,{CPM}/10*3{cell};{CPM}/10³{cell};counts per minute per thousand cells;counts per minutes per thousand cells,cpm 10 3 cell 10³ counts per minute thousand cells minutes,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
55,ucum_cm3,cm3,cm³,cm³ (cubic centimeter),cubic centimeter,cm3;cm³;cubic centimeter;cubic centimeters;cubic centimetres;cubic centimetre,cm3 cm³ cubic centimeter centimeters centimetres centimetre,Volume,volume,metric,,,,c/s,false,ucum_v1.5_2020_06
56,ucum_cin_i,[cin_i],[cin_i],[cin_i] (cubic inch (international)),cubic inch (international),[cin_i];cubic inch (international);cubic inches (international),cin i cubic inch international inches,Volume,volume,non_metric,customary atom(s): [cin_i],,,c/s,false,ucum_v1.5_2020_06
57,ucum_m3_per_s,m3/s,m³/s,m³/s (cubic meter per second),cubic meter per second,m3/s;m³/s;cubic meter per second;cubic metres per second;cubic metres per seconds;cubic meters per seconds;cubic meter per seconds;cubic meters per second;cubic metre per second;cubic metre per seconds,m3 s m³ cubic meter per second metres seconds meters metre,Velocity,velocity,metric,,,,c/s,false,ucum_v1.5_2020_06
58,ucum_Ct_value,{Ct_value},{Ct_value},{Ct_value} (Cycle threshold value),Cycle threshold value,{Ct_value};Cycle threshold value;cycles threshold value;Cycle threshold values;Cycle thresholds value;cycles thresholds values,ct value cycle threshold cycles values thresholds,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
59,ucum_d,d,d,d (day),day,d;day;days,d day days,Time,time,non_metric,non-prefixable atom(s): d,,,c/s,true,ucum_v1.5_2020_06
60,ucum_d_per_7_x_d,d/(7.d),d/(7·d),d/(7·d) (day per 7 day),day per 7 day,d/(7.d);d/(7·d);day per 7 day;days per 7 days;day per 7 days;days per 7 day,d 7 7·d day per days,Dimensionless / Ratio,dimensionless_ratio,non_metric,non-prefixable atom(s): d,,,c/s,false,ucum_v1.5_2020_06
61,ucum_d_per_wk,d/wk,d/wk,d/wk (days per week),days per week,d/wk;days per week;days per weeks,d wk days per week weeks,Rate (per time),rate_per_time,non_metric,"non-prefixable atom(s): d,wk",,,c/s,false,ucum_v1.5_2020_06
62,ucum_dB,dB,dB,dB (decibel),decibel,dB;decibel;decibels,db decibel decibels,Logarithmic / Dimensionless,logarithmic_dimensionless,metric,,,,c/s,false,ucum_v1.5_2020_06
63,ucum_dg,dg,dg,dg (decigram),decigram,dg;decigram;decigrams,dg decigram decigrams,Mass,mass,metric,,,,c/s,false,ucum_v1.5_2020_06
64,ucum_dL,dL,dL,dL (deciliter),deciliter,dL;deciliter;deciliters;decilitres;decilitre,dl deciliter deciliters decilitres decilitre,Volume,volume,metric,,,,c/s,true,ucum_v1.5_2020_06
65,ucum_dm,dm,dm,dm (decimeter),decimeter,dm;decimeter;decimeters;decimetre;decimetres,dm decimeter decimeters decimetre decimetres,Length,length,metric,,,,c/s,false,ucum_v1.5_2020_06
66,ucum_deg,deg,°,° (degree (plane angle)),degree (plane angle),deg;°;degree (plane angle);degree (planes angle);degrees (planes angles);degree (plane angles);degrees (plane angle),deg ° degree plane angle planes degrees angles,Plane Angle,plane_angle,non_metric,non-prefixable atom(s): deg,,,c/s,false,ucum_v1.5_2020_06
67,ucum_Cel,Cel,°C,°C (degree Celsius),degree Celsius,Cel;°C;degree Celsius;degrees Celsius,cel °c degree celsius degrees,Temperature,temperature,metric,,,,c/s,true,ucum_v1.5_2020_06
68,ucum_degF,[degF],[degF],[degF] (degree Fahrenheit),degree Fahrenheit,[degF];degree Fahrenheit;degrees Fahrenheit,degf degree fahrenheit degrees,Temperature,temperature,non_metric,customary atom(s): [degF],,,c/s,true,ucum_v1.5_2020_06
69,ucum_K,K,K,K (degree Kelvin),degree Kelvin,K;degree Kelvin;degrees Kelvin,k degree kelvin degrees,Temperature,temperature,metric,,,,c/s,true,ucum_v1.5_2020_06
70,ucum_K_per_W,K/W,K/W,K/W (degree Kelvin per Watt),degree Kelvin per Watt,K/W;degree Kelvin per Watt;degree Kelvin per watts;degrees Kelvin per Watt;degrees Kelvin per watts,k w degree kelvin per watt watts degrees,Temperature,temperature,metric,,,,c/s,false,ucum_v1.5_2020_06
71,ucum_deg_per_s,deg/s,°/s,°/s (degree per second),degree per second,deg/s;°/s;degree per second;degrees per second;degree per seconds;degrees per seconds,deg s ° degree per second degrees seconds,Rate (per time),rate_per_time,mixed,non-prefixable: deg,,,c/s,false,ucum_v1.5_2020_06
72,ucum_daL_per_min,daL/min,daL/min,daL/min (dekaliter per minute),dekaliter per minute,daL/min;dekaliter per minute;dekalitres per minutes;dekalitre per minute;dekalitre per minutes;dekalitres per minute;dekaliters per minutes;dekaliter per minutes;dekaliters per minute,dal min dekaliter per minute dekalitres minutes dekalitre dekaliters,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
73,ucum_daL_per_min_per_m2,daL/min/m2,daL/min/m²,daL/min/m² (dekaliter per minute per square meter),dekaliter per minute per square meter,daL/min/m2;daL/min/m²;dekaliter per minute per square meter;dekaliters per minutes per square metres;dekalitres per minutes per square metres;dekalitre per minute per square metres;dekalitres per minutes per square meters;dekalitre per minutes per square meter;dekalitre per minute per square meter;dekaliters per minutes per square meters;dekalitre per minute per square metre;dekalitres per minute per square metre;dekaliters per minute per square meter;dekaliter per minutes per square meter;dekalitre per minutes per square metre;dekaliters per minute per square metre;dekaliter per minute per square meters;dekaliter per minute per square metres;dekaliter per minute per square metre;dekaliter per minutes per square metre;dekalitre per minute per square meters;dekalitres per minute per square meter,dal min m2 m² dekaliter per minute square meter dekaliters minutes metres dekalitres dekalitre meters metre,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
74,ucum_dilution,{dilution},{dilution},{dilution} (dilution),dilution,{dilution};dilution;dilutions,dilution dilutions,Dimensionless / Ratio,dimensionless_ratio,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
75,ucum_diop,[diop],dpt,dpt (diopter),diopter,[diop];dpt;diopter;diopters,diop dpt diopter diopters,Optical Power,optical_power,non_metric,customary atom(s): [diop],,,c/s,false,ucum_v1.5_2020_06
76,ucum_dr_av,[dr_av],dr,dr (dram  (US and British)),dram  (US and British),[dr_av];dr;dram  (US and British);drams  (US and British),dr av dram us and british drams,Mass,mass,non_metric,customary atom(s): [dr_av],us_imperial,[dr_av],c/s,false,ucum_v1.5_2020_06
77,ucum_drp,[drp],[drp],[drp] (drop (1/12 milliliter)),drop (1/12 milliliter),[drp];drop (1/12 milliliter);drops (1/12 millilitre);drops (1/12 millilitres);drops (1/12 milliliters);drop (1/12 milliliters);drop (1/12 millilitre);drop (1/12 millilitres);drops (1/12 milliliter),drp drop 1 12 milliliter drops millilitre millilitres milliliters,Volume,volume,non_metric,customary atom(s): [drp],,,c/s,false,ucum_v1.5_2020_06
78,ucum_dyn_x_s_per_cm,dyn.s/cm,dyn·s/cm,dyn·s/cm (dyne second per centimeter),dyne second per centimeter,dyn.s/cm;dyn·s/cm;dyne second per centimeter;dyne second per centimetre;dyne seconds per centimeter;dynes second per centimeter;dyne seconds per centimetre;dyne second per centimeters;dyne second per centimetres;dynes seconds per centimeters;dynes second per centimetre;dynes seconds per centimetres,dyn s cm dyn·s dyne second per centimeter centimetre seconds dynes centimeters centimetres,Force,force,metric,,,,c/s,false,ucum_v1.5_2020_06
